Date,DJIA_USD,CAC40_EUR,FTSE100_GBP,NIKKEI225_JPY,USD_per_USD,USD_per_GBP,USD_per_EUR,USD_per_JPY,MXN_per_USD,MXN_per_GBP,MXN_per_EUR,MXN_per_JPY
3/7/2007,12192.4502,5455.069824,6156.5,16764.61914,1,1.9300920963287354,1.3178529739379883,0.008643789,11.189299583435059,21.596378689442417,14.745851732312985,0.096717948
3/8/2007,12260.7002,5524.259766,6227.700195,17090.31055,1,1.9297939538955688,1.314198613166809,0.008536065,11.151000022888184,21.519132424058967,14.654628765502707,0.095185658
3/9/2007,12276.32031,5537.839844,6245.200195,17164.03906,1,1.9341986179351807,1.3115957975387573,0.008451657,11.067999839782715,21.407709993414528,14.516742077018648,0.093542933
3/12/2007,12318.62012,5496.069824,6233.299805,17292.39063,1,1.9322178363800049,1.318791389465332,0.008505571,11.12399959564209,21.493990430583608,14.670234883148623,0.09461597
3/13/2007,12075.95996,5432.939941,6161.200195,17178.83984,1,1.9287891387939453,1.319000244140625,0.008619204,11.180000305175781,21.56386316033604,14.746423132019117,0.096362702
3/14/2007,12133.40039,5296.220215,6000.700195,16676.89063,1,1.938886284828186,1.323504090309143,0.008528057,11.135299682617188,21.590079832078118,14.73761467676195,0.094962472
3/15/2007,12159.67969,5389.850098,6133.200195,16860.39063,1,1.9386982917785645,1.328303575515747,0.008536065,11.14430046081543,21.605436266449942,14.803014148722923,0.09512847
3/16/2007,12110.41016,5382.160156,6130.600098,16744.15039,1,1.942615270614624,1.3318061828613281,0.008566044,11.192299842834473,21.742332587987903,14.905974131124822,0.095873737
3/19/2007,12226.16992,5458.950195,6189.399902,17009.55078,1,1.9462069272994995,1.3312920331954956,0.008502678,11.133299827575684,21.66770524813012,14.821673363628292,0.094662867
3/20/2007,12288.09961,5503.27002,6220.299805,17163.19922,1,1.9618998765945435,1.331593394,0.008528785,11.095999717712402,21.76924047687305,14.77535992703281,0.094635392
3/22/2007,12461.13965,5598.370117,6318,17419.19922,1,1.965099811553955,1.3334044218063354,0.008468118,10.977700233459473,21.57227666006702,14.637714032559302,0.092960459
3/23/2007,12481.00977,5634.75,6339.399902,17480.60938,1,1.9625160694122314,1.3296988010406494,0.008470987,10.973999977111816,21.5366513,14.592114612185696,0.092960607
3/26/2007,12469.07031,5576.299805,6291.899902,17521.96094,1,1.9700939655303955,1.333191156387329,0.008465967,10.977999687194824,21.627690937337093,14.635772097791005,0.092939379
3/27/2007,12397.29004,5587.060059,6292.600098,17365.05078,1,1.966800332069397,1.3365052938461304,0.008492569,11.05620002746582,21.74533788544545,14.77666987,0.093895542
3/28/2007,12300.36035,5552.689941,6267.200195,17254.73047,1,1.9625929594039917,1.3315047025680542,0.008556516,11.058199882507324,21.702745233090923,14.724045145496007,0.09461966
3/29/2007,12348.75,5631.529785,6324.200195,17263.93945,1,1.9632093906402588,1.3334933519363403,0.008476013,11.016799926757812,21.628285071015853,14.690829461944304,0.093378535
3/30/2007,12354.34961,5634.160156,6308,17287.65039,1,1.9525147676467896,1.3358982801437378,0.008488244,10.996999740600586,21.471804393330558,14.690873040209453,0.093345217
4/2/2007,12382.2998,5645.560059,6315.5,17028.41016,1,1.9782003164291382,1.337005615234375,0.008491848,11.010499954223633,21.780974493488202,14.721100265334826,0.093499488
4/3/2007,12510.2998,5711.910156,6366.100098,17244.05078,1,1.9733986854553223,1.332498312,0.008412551,10.930999755859375,21.57122054892534,14.565538723116333,0.091957597
4/4/2007,12530.0498,5739.009766,6364.700195,17544.08984,1,1.9764018058776855,1.3373990058898926,0.008419635,10.995499610900879,21.731525287511886,14.705370248881536,0.092578091
4/5/2007,12560.2002,5741.379883,6397.299805,17491.41992,1,1.9714922904968262,1.3432012796401978,0.008425168,10.98960018157959,21.665912033626682,14.761245026631855,0.092589223
4/10/2007,12573.84961,5766.27002,6417.799805,17664.68945,1,1.9718031883239746,1.3432012796401978,0.008394896,10.99779987335205,21.685496854824578,14.77225886311328,0.092325383
4/11/2007,12484.62012,5751.919922,6413.299805,17670.07031,1,1.9762064218521118,1.3439956903457642,0.008382932,11.014800071716309,21.76751863714287,14.803843826406933,0.092336323
4/12/2007,12552.95996,5748.939941,6416.399902,17540.41992,1,1.9803941249847412,1.3491089344024658,0.008403361,10.98900032043457,21.76255167404406,14.825358512449839,0.092344541
4/13/2007,12612.12988,5789.339844,6462.399902,17363.94922,1,1.9864917993545532,1.3521004915237427,0.008387151,10.940999984741211,21.734206746426707,14.793331457129852,0.091763815
4/16/2007,12720.45996,5861.970215,6516.200195,17628.30078,1,1.9887042045593262,1.3529053926467896,0.008350033,10.970000267028809,21.816085655057122,14.841372518599997,0.091599867
4/17/2007,12773.04004,5858.140137,6497.799805,17527.44922,1,2.007387161254883,1.3572019338607788,0.008406894,10.981300354003906,22.04372134451114,14.903842076760156,0.092318627
4/18/2007,12803.83984,5835.950195,6449.399902,17667.33008,1,2.009000301361084,1.361396312713623,0.008442381,10.972000122070312,22.042751551773108,14.937240509279945,0.092629805
4/19/2007,12808.62988,5829.040039,6440.600098,17371.9707,1,2.0036065578460693,1.362434983253479,0.00845666,10.95300006866455,21.94550276566474,14.922750465126342,0.092625793
4/20/2007,12961.98047,5938.899902,6486.799805,17452.61914,1,2.004610538482666,1.3588987588882446,0.008427439,10.937000274658203,21.924426009967647,14.862276099193423,0.092170908
